,hh_income,hh_lifeCycle,occupation_type,age,motif_H,motif_HOH,motif_HOOH,motif_HOWH,motif_HOWOH,motif_HWH,motif_HWOH,motif_HWOWH,motif_HWWH,work_block,home_block,third_places_block
28,5,10,2,33,0,0,0,0,0,0,1,0,0,1,33,32.0
29,6,1,2,60,0,0,0,0,0,1,0,0,0,1,22,
30,6,6,2,34,0,0,0,0,0,0,1,0,0,1,10,30.0
31,9,2,2,59,0,0,0,0,0,1,0,0,0,1,31,
32,7,1,2,61,0,0,0,0,0,0,1,0,0,1,9,13.0
33,9,2,2,55,0,0,0,0,0,0,0,1,0,1,4,23.0
34,5,7,2,57,0,0,0,0,0,0,1,0,0,1,33,9.0
35,7,10,2,38,0,0,0,0,1,0,0,0,0,1,22,9.0
36,4,10,2,50,0,0,0,0,0,1,0,0,0,1,31,
37,8,2,2,27,0,0,0,0,0,0,0,1,0,1,19,11.0
38,2,4,2,39,0,0,0,1,0,0,0,0,0,1,26,17.0
39,5,2,2,30,0,0,1,0,0,0,0,0,0,1,15,33.0
40,10,6,2,49,0,0,0,1,0,0,0,0,0,1,9,24.0
41,6,1,2,69,0,0,1,0,0,0,0,0,0,1,10,17.0
42,3,1,2,44,0,0,0,0,0,0,1,0,0,1,19,23.0
43,7,10,2,38,0,0,0,0,1,0,0,0,0,1,20,33.0
44,8,4,2,30,0,0,1,0,0,0,0,0,0,1,33,15.0
45,8,8,2,43,0,0,0,0,0,0,1,0,0,1,32,18.0
46,6,1,2,62,0,0,0,0,0,0,1,0,0,1,3,9.0
47,7,1,2,56,0,0,0,0,0,0,0,1,0,1,2,1.0
48,5,2,2,43,0,0,0,0,0,0,1,0,0,1,12,33.0
49,7,2,2,49,0,1,0,0,0,0,0,0,0,1,3,11.0
50,7,10,2,65,0,0,0,1,0,0,0,0,0,1,3,5.0
51,6,8,2,19,0,0,1,0,0,0,0,0,0,1,3,5.0
52,5,7,2,57,0,0,0,0,0,0,1,0,0,1,31,23.0
53,5,7,2,57,0,0,0,0,0,0,1,0,0,1,23,29.0
54,10,6,2,42,0,0,0,0,0,1,0,0,0,1,27,
55,10,2,2,68,0,0,0,0,0,0,1,0,0,1,22,15.0
56,5,1,2,51,0,0,0,0,0,0,1,0,0,1,27,1.0
57,7,8,2,24,0,0,0,0,0,0,0,0,1,1,8,
58,7,2,2,37,0,0,0,0,0,0,1,0,0,1,20,29.0
59,7,4,2,41,0,0,0,0,0,1,0,0,0,1,12,
60,6,1,2,60,0,0,0,0,0,1,0,0,0,1,31,
61,2,6,2,22,0,0,0,0,0,1,0,0,0,1,4,
62,7,1,2,40,0,0,0,0,0,0,0,1,0,1,31,18.0
63,8,4,2,31,0,0,1,0,0,0,0,0,0,1,18,9.0
64,6,1,2,60,0,0,0,1,0,0,0,0,0,1,10,14.0
65,6,1,2,60,0,0,0,0,0,1,0,0,0,1,29,
66,7,1,2,61,0,0,0,0,0,0,1,0,0,1,20,15.0
67,6,5,2,52,0,0,0,0,0,1,0,0,0,1,10,
68,10,6,2,42,0,0,0,0,0,1,0,0,0,1,21,
69,10,2,2,68,0,0,0,0,0,0,1,0,0,1,12,19.0
70,7,6,2,22,0,0,0,0,0,0,0,0,1,1,4,
71,1,8,2,22,0,0,0,0,0,0,1,0,0,1,6,4.0
72,5,7,2,47,0,0,0,1,0,0,0,0,0,1,24,9.0
73,8,4,2,31,0,0,1,0,0,0,0,0,0,1,5,14.0
74,6,1,2,92,0,0,0,0,0,0,1,0,0,1,23,33.0
75,6,2,2,59,0,0,0,0,0,1,0,0,0,1,20,
76,11,6,2,44,0,0,0,0,0,0,1,0,0,1,5,29.0
77,2,6,2,22,0,0,0,0,0,1,0,0,0,1,31,
78,10,6,2,49,0,0,0,1,0,0,0,0,0,1,12,13.0
79,10,2,2,58,0,0,0,0,0,1,0,0,0,1,6,
80,6,6,2,34,0,0,0,0,0,0,1,0,0,1,29,33.0
81,5,1,2,61,0,0,0,0,0,1,0,0,0,1,4,
82,10,6,2,42,0,0,0,0,0,1,0,0,0,1,5,
83,7,1,2,61,0,0,0,1,0,0,0,0,0,1,34,13.0
84,10,2,2,68,0,0,0,0,0,0,1,0,0,1,4,15.0
85,6,6,2,34,0,0,0,0,0,0,1,0,0,1,3,7.0
86,8,8,3,19,0,0,0,0,0,1,0,0,0,1,28,
87,9,4,3,39,0,0,0,0,0,0,1,0,0,1,20,20.0
88,2,10,3,58,0,0,0,0,0,0,1,0,0,1,22,4.0
89,1,2,3,70,0,1,0,0,0,0,0,0,0,1,8,4.0
90,6,2,3,23,0,0,0,0,0,1,0,0,0,1,18,
91,8,1,3,71,0,0,0,1,0,0,0,0,0,1,20,11.0
92,8,10,3,50,0,0,0,0,0,0,1,0,0,1,6,15.0
93,10,2,3,50,0,0,0,0,0,1,0,0,0,1,34,
94,7,4,3,50,0,0,0,0,0,1,0,0,0,1,11,
95,5,10,3,36,0,0,1,0,0,0,0,0,0,1,31,2.0
96,9,2,3,28,0,0,0,0,0,0,1,0,0,1,25,28.0
97,8,6,3,51,0,0,0,0,1,0,0,0,0,1,31,13.0
98,8,1,3,42,0,0,0,1,0,0,0,0,0,1,12,5.0
99,6,4,3,40,0,0,0,1,0,0,0,0,0,1,20,29.0
100,8,8,3,27,0,0,1,0,0,0,0,0,0,1,22,13.0
101,5,8,3,55,0,0,0,0,0,1,0,0,0,1,19,
102,7,2,3,34,0,0,0,0,0,1,0,0,0,1,29,
103,5,1,3,51,0,0,0,0,0,0,1,0,0,1,23,10.0
104,7,4,3,50,0,0,0,0,0,1,0,0,0,1,6,
105,9,4,3,42,0,0,0,0,0,0,1,0,0,1,9,26.0
106,8,1,3,53,0,0,0,0,0,1,0,0,0,1,9,
107,9,10,3,67,0,0,0,0,0,0,1,0,0,1,9,33.0
108,5,8,3,55,0,0,0,0,0,1,0,0,0,1,27,
109,8,8,3,27,0,0,1,0,0,0,0,0,0,1,32,29.0
110,10,2,3,57,0,0,0,0,0,0,1,0,0,1,4,1.0
111,8,10,3,50,0,0,0,0,0,0,1,0,0,1,33,31.0
112,7,4,3,50,0,0,0,0,0,1,0,0,0,1,12,
113,8,2,3,26,0,0,0,0,0,1,0,0,0,1,3,
114,6,1,3,49,0,0,0,0,0,0,0,0,1,1,23,
115,11,2,3,33,0,0,0,0,0,0,1,0,0,1,34,32.0
116,5,10,3,36,0,0,1,0,0,0,0,0,0,1,24,14.0
117,10,2,3,37,0,0,0,0,1,0,0,0,0,1,22,23.0
118,7,4,3,50,0,0,0,0,0,1,0,0,0,1,25,
119,6,4,3,43,0,0,0,0,1,0,0,0,0,1,23,19.0
120,1,2,3,70,0,1,0,0,0,0,0,0,0,1,25,5.0
121,2,10,3,58,0,0,0,0,0,0,1,0,0,1,28,26.0
122,7,2,3,34,0,0,0,0,0,1,0,0,0,1,15,
123,8,1,3,53,0,0,0,0,0,1,0,0,0,1,25,
124,6,6,3,55,0,0,0,0,0,0,1,0,0,1,19,7.0
125,8,6,3,51,0,0,0,0,1,0,0,0,0,1,27,7.0
126,4,6,3,41,0,0,0,0,0,1,0,0,0,1,6,
127,5,6,3,58,0,0,0,1,0,0,0,0,0,1,15,13.0
128,6,8,3,69,0,1,0,0,0,0,0,0,0,1,31,14.0
129,8,8,3,19,0,0,0,0,0,1,0,0,0,1,5,
130,8,6,3,40,0,0,0,0,0,0,0,0,1,1,20,
131,8,6,3,51,0,0,0,0,1,0,0,0,0,1,3,16.0
132,10,10,3,56,0,0,0,0,0,0,0,0,1,1,20,
133,8,1,3,42,0,0,0,1,0,0,0,0,0,1,5,22.0
134,7,2,3,34,0,0,0,0,0,1,0,0,0,1,31,
135,9,2,3,28,0,0,0,0,0,0,1,0,0,1,25,15.0
136,4,8,3,59,0,0,0,0,0,1,0,0,0,1,23,
137,6,8,3,69,0,1,0,0,0,0,0,0,0,1,10,29.0
138,8,6,3,51,0,0,0,0,1,0,0,0,0,1,12,8.0
139,8,8,3,22,0,0,0,0,0,1,0,0,0,1,28,
140,11,2,3,38,0,0,0,1,0,0,0,0,0,1,23,33.0
141,11,2,3,38,0,0,0,1,0,0,0,0,0,1,28,26.0
142,6,6,3,39,0,0,0,0,0,0,1,0,0,1,27,24.0
143,6,1,4,57,0,0,0,0,0,0,1,0,0,1,6,33.0
144,8,1,4,30,0,0,0,0,0,0,1,0,0,1,24,18.0
145,11,2,4,34,0,0,0,0,0,1,0,0,0,1,25,
146,6,2,4,24,0,0,0,0,0,0,0,0,1,1,24,
147,11,2,4,73,0,0,0,0,0,0,1,0,0,1,2,7.0
148,5,2,4,35,0,0,0,0,0,0,1,0,0,1,9,14.0
149,11,4,4,44,0,0,0,0,0,1,0,0,0,1,5,
150,8,2,4,63,0,0,0,0,0,1,0,0,0,1,11,
151,7,2,4,26,0,0,0,0,1,0,0,0,0,1,6,12.0
152,10,2,4,69,0,0,0,0,0,0,1,0,0,1,20,31.0
153,11,10,4,73,0,0,0,0,0,0,1,0,0,1,28,14.0
154,11,1,4,42,0,0,1,0,0,0,0,0,0,1,6,33.0
155,10,6,4,17,0,1,0,0,0,0,0,0,0,1,19,23.0
156,8,2,4,24,0,0,0,0,0,1,0,0,0,1,19,
157,6,5,4,30,0,0,1,0,0,0,0,0,0,1,20,17.0
158,1,2,4,44,0,0,0,0,0,1,0,0,0,1,8,
159,6,2,4,23,0,0,0,0,0,1,0,0,0,1,5,
160,11,4,4,51,0,0,0,0,0,1,0,0,0,1,6,
161,6,2,4,35,0,0,0,0,0,0,1,0,0,1,25,13.0
162,11,2,4,58,0,0,0,0,0,0,1,0,0,1,24,23.0
163,4,8,4,53,0,0,1,0,0,0,0,0,0,1,25,29.0
164,7,2,4,30,0,0,0,0,0,1,0,0,0,1,21,
165,4,6,4,55,0,0,1,0,0,0,0,0,0,1,3,28.0
166,11,4,4,38,0,0,0,0,0,0,1,0,0,1,10,12.0
167,10,2,4,38,1,0,0,0,0,0,0,0,0,1,10,
168,10,4,4,31,0,0,0,0,0,1,0,0,0,1,26,
169,11,4,4,40,0,0,0,0,0,1,0,0,0,1,26,
170,8,10,4,69,0,0,0,0,0,1,0,0,0,1,22,
171,9,2,4,49,0,1,0,0,0,0,0,0,0,1,3,4.0
172,10,4,4,40,0,0,0,0,0,1,0,0,0,1,27,
173,6,8,4,52,0,0,0,0,0,1,0,0,0,1,20,
174,11,2,4,34,0,0,0,0,0,1,0,0,0,1,14,
175,10,6,4,40,0,0,0,0,0,0,0,1,0,1,5,33.0
176,11,2,4,33,0,0,0,1,0,0,0,0,0,1,23,12.0
177,7,1,4,59,0,0,0,0,0,1,0,0,0,1,23,
178,11,2,4,60,0,0,0,0,0,1,0,0,0,1,11,
179,10,1,4,29,0,0,0,1,0,0,0,0,0,1,23,14.0
180,11,2,4,47,0,0,0,0,0,0,1,0,0,1,29,4.0
181,6,1,4,58,0,0,0,1,0,0,0,0,0,1,10,5.0
182,7,1,4,41,0,0,0,0,0,1,0,0,0,1,29,
183,9,2,4,33,0,0,0,1,0,0,0,0,0,1,4,9.0
184,6,8,4,52,0,0,0,0,0,1,0,0,0,1,20,
185,7,1,4,23,0,0,0,0,0,1,0,0,0,1,28,
186,10,6,4,40,0,0,0,0,0,0,0,1,0,1,11,4.0
187,9,2,4,32,0,0,0,0,0,0,1,0,0,1,31,29.0
188,7,1,4,44,0,0,0,0,0,1,0,0,0,1,3,
189,6,1,4,28,0,0,0,0,0,0,0,1,0,1,12,32.0
190,11,2,4,26,0,0,0,0,0,1,0,0,0,1,3,
191,7,6,4,46,0,0,1,0,0,0,0,0,0,1,31,4.0
192,7,2,4,27,0,0,0,0,0,1,0,0,0,1,28,
193,6,4,4,43,0,0,0,0,0,1,0,0,0,1,11,
194,10,2,4,40,0,0,0,0,0,0,1,0,0,1,5,29.0
195,10,10,4,63,0,0,0,0,0,0,1,0,0,1,31,29.0
196,10,2,4,44,0,0,0,0,0,0,1,0,0,1,21,12.0
197,4,1,4,35,0,0,1,0,0,0,0,0,0,1,27,33.0
198,6,1,4,50,0,0,0,0,0,0,0,1,0,1,27,15.0
199,11,2,4,26,0,0,0,0,0,1,0,0,0,1,6,
200,9,6,4,42,0,0,0,0,0,1,0,0,0,1,18,
201,11,6,4,35,0,0,0,0,0,0,1,0,0,1,5,7.0
202,11,2,4,58,0,0,0,0,0,0,1,0,0,1,4,13.0
203,7,1,4,52,0,0,0,0,0,1,0,0,0,1,29,
204,6,2,4,26,0,0,0,0,0,1,0,0,0,1,34,
205,6,10,4,44,0,0,0,0,0,1,0,0,0,1,28,
206,6,2,4,26,0,0,0,1,0,0,0,0,0,1,26,33.0
207,11,2,4,57,0,0,0,0,0,1,0,0,0,1,28,
208,7,2,4,31,0,0,0,0,0,0,1,0,0,1,31,15.0
209,6,2,4,57,0,0,0,0,0,1,0,0,0,1,18,
210,6,1,4,23,0,0,0,0,0,1,0,0,0,1,31,
211,8,2,4,61,0,0,0,0,0,1,0,0,0,1,12,
212,7,1,4,26,0,0,0,0,0,1,0,0,0,1,28,
213,11,2,4,51,0,0,0,0,0,0,1,0,0,1,28,5.0
214,11,2,4,33,0,0,0,1,0,0,0,0,0,1,3,20.0
215,6,4,4,43,0,0,0,0,0,1,0,0,0,1,12,
216,11,2,4,52,0,0,0,0,0,0,1,0,0,1,25,17.0
217,10,2,4,41,0,0,0,0,0,0,0,1,0,1,6,8.0
218,7,5,4,39,0,0,0,0,0,1,0,0,0,1,24,
219,4,1,4,78,0,1,0,0,0,0,0,0,0,1,31,18.0
220,9,6,4,56,0,0,0,0,0,0,0,1,0,1,24,23.0
221,4,1,4,36,0,0,0,0,0,1,0,0,0,1,34,
222,8,2,4,51,0,0,0,0,0,0,1,0,0,1,31,33.0
223,6,1,4,58,0,0,0,0,0,0,1,0,0,1,10,31.0
224,10,4,4,42,0,0,0,0,0,1,0,0,0,1,11,
225,10,1,4,30,0,1,0,0,0,0,0,0,0,1,10,15.0
226,9,2,4,33,0,0,0,0,0,1,0,0,0,1,26,
227,6,2,4,24,0,0,0,1,0,0,0,0,0,1,19,32.0
228,10,1,4,34,0,0,0,0,0,0,0,1,0,1,11,13.0
229,7,6,5,16,0,0,0,0,0,0,1,0,0,1,26,25.0
230,8,8,5,16,0,0,0,0,0,0,1,0,0,1,31,12.0
231,8,6,5,16,0,0,1,0,0,0,0,0,0,1,6,21.0
232,7,4,5,17,0,0,0,0,0,1,0,0,0,1,8,
233,3,6,5,16,0,0,0,0,0,1,0,0,0,1,14,
234,7,4,5,17,0,0,0,0,0,1,0,0,0,1,4,
235,7,8,5,16,0,0,0,0,0,1,0,0,0,1,10,
236,5,6,5,17,0,0,0,0,0,1,0,0,0,1,4,
237,10,8,5,17,0,0,0,0,0,1,0,0,0,1,25,
238,1,7,5,17,0,0,0,0,0,0,0,1,0,1,14,30.0
239,1,5,5,17,0,0,0,0,0,1,0,0,0,1,5,
240,7,4,5,17,0,0,0,0,0,1,0,0,0,1,18,
241,9,6,5,17,0,0,0,0,0,0,1,0,0,1,6,23.0
242,9,6,5,17,0,0,0,0,0,0,1,0,0,1,2,7.0
243,10,8,5,17,0,0,0,0,0,1,0,0,0,1,27,
244,9,6,5,17,0,0,0,0,0,0,1,0,0,1,23,19.0
245,7,4,5,16,0,1,0,0,0,0,0,0,0,1,27,20.0
246,7,4,5,17,0,0,0,0,0,1,0,0,0,1,26,
247,9,6,5,17,0,0,0,0,0,0,1,0,0,1,9,23.0
248,8,8,5,17,0,0,0,0,0,1,0,0,0,1,6,
249,8,6,5,16,0,0,1,0,0,0,0,0,0,1,4,21.0
250,4,8,5,17,0,0,0,0,0,1,0,0,0,1,5,
251,7,4,5,17,0,0,0,0,0,1,0,0,0,1,25,
252,6,8,5,16,0,1,0,0,0,0,0,0,0,1,20,29.0
253,8,8,5,17,0,0,0,0,0,1,0,0,0,1,18,
254,7,4,5,17,0,0,0,0,0,1,0,0,0,1,24,
255,5,7,5,16,0,1,0,0,0,0,0,0,0,1,21,25.0
256,7,6,5,17,0,0,0,1,0,0,0,0,0,1,12,23.0
257,7,4,5,17,0,0,0,0,0,1,0,0,0,1,24,
258,8,8,5,16,0,0,0,0,0,0,1,0,0,1,4,22.0
259,7,4,5,16,0,0,0,0,0,0,1,0,0,1,26,14.0
260,4,8,1,24,0,0,0,0,0,1,0,0,0,2,24,
261,8,2,1,52,0,0,0,0,0,0,0,1,0,2,2,7.0
262,6,1,1,38,0,0,0,0,0,0,1,0,0,2,9,1.0
263,8,10,1,22,0,0,0,0,0,1,0,0,0,2,5,
264,4,2,1,56,0,0,0,0,0,1,0,0,0,2,19,
265,5,4,1,21,0,1,0,0,0,0,0,0,0,2,26,18.0
266,10,8,1,21,0,0,0,0,0,1,0,0,0,2,29,
267,5,6,1,30,0,0,0,0,0,1,0,0,0,2,9,
268,1,5,1,50,0,0,0,0,1,0,0,0,0,2,33,25.0
269,9,2,1,46,0,0,0,0,0,1,0,0,0,2,27,
270,4,6,1,38,0,0,0,0,0,1,0,0,0,2,15,
271,10,2,1,30,0,0,0,0,0,1,0,0,0,2,10,
272,5,1,1,58,0,0,0,0,0,0,1,0,0,2,8,7.0
273,5,6,1,30,0,0,0,0,0,1,0,0,0,2,20,
274,4,8,1,24,0,0,0,0,0,1,0,0,0,2,25,
275,11,2,1,87,0,1,0,0,0,0,0,0,0,2,24,4.0
276,3,2,1,22,0,0,0,0,1,0,0,0,0,2,33,17.0
277,7,6,1,50,0,0,0,1,0,0,0,0,0,2,24,31.0
278,5,1,1,58,0,0,0,0,0,0,1,0,0,2,22,21.0
279,11,2,1,70,0,0,0,0,0,0,0,0,1,2,23,
280,4,6,1,18,0,0,0,0,0,1,0,0,0,2,20,
281,5,1,1,66,0,1,0,0,0,0,0,0,0,2,12,23.0
282,1,2,1,65,0,0,1,0,0,0,0,0,0,2,33,11.0
283,6,1,1,69,0,1,0,0,0,0,0,0,0,2,33,11.0
284,6,2,1,27,0,0,0,0,0,0,0,1,0,2,25,2.0
285,3,6,1,35,0,0,0,0,1,0,0,0,0,2,3,9.0
286,8,2,1,56,0,0,0,0,0,1,0,0,0,2,34,
287,6,2,1,63,0,0,0,0,0,1,0,0,0,2,28,
288,4,1,1,45,0,0,0,1,0,0,0,0,0,2,25,18.0
289,6,4,1,40,0,1,0,0,0,0,0,0,0,2,15,29.0
290,8,2,1,64,0,0,0,0,0,1,0,0,0,2,23,
291,1,7,1,58,0,0,0,0,0,1,0,0,0,2,20,
292,7,6,1,50,0,0,0,1,0,0,0,0,0,2,3,1.0
293,7,4,1,56,0,0,0,0,0,1,0,0,0,2,22,
294,6,1,1,38,0,0,0,0,0,0,1,0,0,2,4,26.0
295,6,2,1,63,0,1,0,0,0,0,0,0,0,2,31,31.0
296,10,2,1,53,0,0,1,0,0,0,0,0,0,2,18,33.0
297,8,10,1,52,0,0,0,0,0,1,0,0,0,2,26,
298,5,2,1,67,0,0,0,0,0,0,0,0,1,2,22,
299,6,2,1,30,0,0,0,0,0,0,1,0,0,2,28,10.0
300,8,2,1,59,0,0,0,0,0,0,0,0,1,2,29,
301,2,2,1,25,0,0,0,0,0,1,0,0,0,2,22,
302,8,10,1,52,0,0,0,0,0,1,0,0,0,2,4,
303,8,8,1,41,0,0,0,0,0,1,0,0,0,2,9,
304,1,2,1,45,1,0,0,0,0,0,0,0,0,2,16,
305,6,10,1,41,0,0,0,0,0,1,0,0,0,2,19,
306,11,4,1,44,0,0,0,0,0,1,0,0,0,2,4,
307,8,2,1,22,0,0,0,0,0,1,0,0,0,2,6,
308,9,2,1,37,0,0,0,0,0,0,0,1,0,2,6,31.0
309,11,1,1,32,0,0,0,0,0,0,0,1,0,2,19,8.0
310,1,4,1,42,0,0,0,0,0,0,1,0,0,2,4,19.0
311,6,10,1,57,0,0,1,0,0,0,0,0,0,2,32,17.0
312,6,1,1,38,0,0,0,0,0,0,1,0,0,2,4,11.0
313,6,1,1,56,0,1,0,0,0,0,0,0,0,2,23,26.0
314,7,7,1,18,0,0,0,0,0,0,0,0,1,2,21,
315,5,1,1,62,0,0,0,0,0,0,1,0,0,2,6,26.0
316,9,6,1,37,0,0,0,0,0,1,0,0,0,2,23,
317,9,8,2,22,0,0,0,0,0,1,0,0,0,2,9,
318,7,2,2,24,0,0,0,0,0,1,0,0,0,2,10,
319,1,1,2,62,0,1,0,0,0,0,0,0,0,2,24,32.0
320,6,8,2,19,0,0,1,0,0,0,0,0,0,2,3,25.0
321,1,7,2,20,0,0,0,0,1,0,0,0,0,2,5,1.0
322,5,10,2,33,0,0,0,0,0,1,0,0,0,2,8,
323,7,4,2,38,0,0,0,0,1,0,0,0,0,2,23,33.0
324,8,10,2,63,0,0,0,0,0,0,1,0,0,2,10,31.0
325,4,10,2,50,0,0,0,0,0,1,0,0,0,2,14,
326,8,8,2,43,0,0,0,0,0,0,1,0,0,2,3,14.0
327,9,6,2,53,0,0,0,0,0,1,0,0,0,2,25,
328,4,1,2,65,0,0,0,0,0,0,1,0,0,2,15,33.0
329,9,2,2,30,0,0,0,0,0,0,1,0,0,2,31,14.0
330,5,10,2,62,0,0,0,0,0,1,0,0,0,2,34,
331,7,10,2,65,0,0,0,1,0,0,0,0,0,2,24,18.0
332,5,10,2,33,0,0,0,0,0,0,1,0,0,2,10,11.0
333,7,8,2,50,0,0,0,0,0,1,0,0,0,2,6,
334,7,1,2,61,0,0,0,0,0,0,1,0,0,2,26,11.0
335,3,1,2,54,0,0,1,0,0,0,0,0,0,2,6,33.0
336,6,1,2,69,0,0,1,0,0,0,0,0,0,2,21,11.0
337,7,8,2,50,0,0,0,0,0,1,0,0,0,2,4,
338,8,2,3,22,0,0,0,0,0,1,0,0,0,2,34,
339,7,4,3,50,0,0,0,0,0,1,0,0,0,2,10,
340,4,6,3,41,0,0,0,0,0,1,0,0,0,2,33,
341,2,10,3,58,0,0,0,0,0,0,1,0,0,2,10,1.0
342,7,4,3,41,0,1,0,0,0,0,0,0,0,2,32,25.0
343,8,10,3,50,0,0,0,0,0,0,1,0,0,2,26,33.0
344,3,6,3,43,0,0,0,0,0,1,0,0,0,2,6,
345,6,6,3,57,0,0,0,0,0,1,0,0,0,2,2,
346,8,10,3,50,0,0,0,0,0,0,1,0,0,2,12,5.0
347,6,4,3,43,0,0,0,0,1,0,0,0,0,2,24,15.0
348,8,1,3,53,0,0,0,0,0,1,0,0,0,2,6,
349,1,2,3,70,0,1,0,0,0,0,0,0,0,2,14,7.0
350,6,2,3,58,0,0,0,0,0,1,0,0,0,2,14,
351,8,6,3,51,0,0,0,0,1,0,0,0,0,2,24,1.0
352,6,10,3,65,0,0,0,0,0,0,1,0,0,2,5,9.0
353,10,2,3,22,0,0,0,0,0,0,0,0,1,2,29,
354,6,2,3,58,0,0,0,0,0,1,0,0,0,2,20,
355,6,6,3,48,0,0,0,1,0,0,0,0,0,2,6,18.0
356,10,10,3,56,0,0,0,0,0,0,0,0,1,2,21,
357,8,2,3,55,0,0,0,0,0,1,0,0,0,2,5,
358,9,2,3,28,0,0,0,0,0,0,1,0,0,2,23,15.0
359,11,2,3,59,0,0,0,0,0,1,0,0,0,2,14,
360,8,10,3,50,0,0,0,0,0,0,1,0,0,2,25,18.0
361,6,4,3,43,0,0,0,0,1,0,0,0,0,2,33,25.0
362,8,8,3,22,0,0,0,0,0,1,0,0,0,2,20,
363,3,10,3,38,0,0,0,0,0,0,1,0,0,2,11,20.0
364,7,4,3,50,0,0,0,0,0,1,0,0,0,2,26,
365,3,1,3,67,0,0,0,0,0,0,0,0,1,2,12,
366,7,4,3,41,0,1,0,0,0,0,0,0,0,2,34,7.0
367,1,2,3,70,0,1,0,0,0,0,0,0,0,2,11,32.0
368,7,4,3,50,0,0,0,0,0,1,0,0,0,2,14,
369,7,1,3,67,0,0,0,0,0,1,0,0,0,2,4,
370,9,2,3,28,0,0,0,0,0,0,1,0,0,2,19,14.0
371,9,10,3,67,0,0,0,0,0,0,1,0,0,2,4,28.0
372,1,2,3,70,0,1,0,0,0,0,0,0,0,2,20,2.0
373,8,2,3,22,0,0,0,0,0,1,0,0,0,2,6,
374,7,2,3,34,0,0,0,0,0,1,0,0,0,2,24,
375,6,2,3,58,0,0,0,0,0,1,0,0,0,2,3,
376,10,2,3,37,0,0,0,0,1,0,0,0,0,2,10,19.0
377,8,2,3,41,0,0,0,0,0,1,0,0,0,2,4,
378,6,2,3,23,0,0,0,0,0,1,0,0,0,2,31,
379,8,2,3,55,0,0,0,0,0,1,0,0,0,2,33,
380,6,1,3,49,0,0,0,0,0,1,0,0,0,2,9,
381,6,8,3,69,0,1,0,0,0,0,0,0,0,2,19,23.0
382,2,10,3,58,0,0,0,0,0,0,1,0,0,2,27,33.0
383,8,2,3,59,0,0,0,0,0,1,0,0,0,2,2,
384,8,6,3,51,0,0,0,0,1,0,0,0,0,2,5,18.0
385,6,6,3,44,0,0,0,0,1,0,0,0,0,2,29,20.0
386,9,2,3,28,0,0,0,0,0,0,1,0,0,2,4,25.0
387,8,2,3,55,0,0,0,0,0,1,0,0,0,2,6,
388,6,1,3,46,0,1,0,0,0,0,0,0,0,2,27,19.0
389,6,1,3,49,0,0,0,0,0,1,0,0,0,2,28,
390,6,6,3,55,0,0,0,0,0,0,1,0,0,2,24,11.0
391,9,4,3,42,0,0,0,0,0,0,1,0,0,2,21,25.0
392,5,6,3,60,0,0,0,0,0,1,0,0,0,2,8,
393,11,2,4,51,0,0,1,0,0,0,0,0,0,2,23,12.0
394,6,2,4,33,0,0,0,0,1,0,0,0,0,2,26,22.0
395,7,1,4,47,0,0,0,0,0,0,1,0,0,2,23,14.0
